model,train_Acc,train_AUC,test_Acc,test_AUC,cv_train_Acc,cv_train_AUC,cv_val_Acc,cv_val_AUC
Mean_PCA_ANOVA_1_SVM,0.3636,0.3716,0.3643,0.3726,0.62,0.4821,0.6272,0.4869
Mean_PCA_ANOVA_1_LDA,0.5328,0.6284,0.531,0.6274,0.5327,0.6294,0.5335,0.6276
Mean_PCA_ANOVA_1_AE,0.5328,0.6284,0.531,0.6274,0.5392,0.631,0.5356,0.6278
Mean_PCA_ANOVA_1_RF,0.9997,1.0,0.5656,0.5669,0.9998,1.0,0.4739,0.5598
Mean_PCA_ANOVA_1_LR,0.5328,0.6284,0.531,0.6274,0.5322,0.6294,0.5334,0.6277
Mean_PCA_ANOVA_1_AB,0.5332,0.6363,0.5302,0.6118,0.5347,0.6385,0.5345,0.6244
Mean_PCA_ANOVA_1_DT,0.9997,1.0,0.5656,0.5285,0.9998,1.0,0.5593,0.5228
Mean_PCA_ANOVA_1_NB,0.532,0.6101,0.5321,0.622,0.5316,0.6129,0.5328,0.6094
Mean_PCA_ANOVA_2_SVM,0.3636,0.3716,0.3643,0.3726,0.3635,0.4689,0.6156,0.4693
Mean_PCA_ANOVA_2_LDA,0.6112,0.6745,0.6061,0.6594,0.5921,0.6762,0.5985,0.6658
Mean_PCA_ANOVA_2_AE,0.5328,0.6284,0.531,0.6274,0.564,0.6555,0.5569,0.6497
Mean_PCA_ANOVA_2_RF,0.9997,1.0,0.5656,0.5669,0.9999,1.0,0.4848,0.5722
Mean_PCA_ANOVA_2_LR,0.5328,0.6284,0.531,0.6274,0.5835,0.6517,0.5811,0.6473
Mean_PCA_ANOVA_2_AB,0.5332,0.6363,0.5302,0.6118,0.5615,0.6616,0.5631,0.6467
Mean_PCA_ANOVA_2_DT,0.9997,1.0,0.5656,0.5285,0.9999,1.0,0.5681,0.5336
Mean_PCA_ANOVA_2_NB,0.532,0.6101,0.5321,0.622,0.545,0.6385,0.5454,0.6364
Mean_PCA_ANOVA_3_SVM,0.5854,0.603,0.5726,0.5847,0.5617,0.538,0.564,0.5385
Mean_PCA_ANOVA_3_LDA,0.6603,0.7057,0.648,0.6848,0.626,0.7023,0.6072,0.6907
Mean_PCA_ANOVA_3_AE,0.6213,0.704,0.6029,0.6845,0.6122,0.6876,0.6011,0.6772
Mean_PCA_ANOVA_3_RF,1.0,1.0,0.6199,0.6298,1.0,1.0,0.5592,0.6242
