model,train_Acc,train_AUC,test_Acc,test_AUC
Mean_PCA_ANOVA_1_SVM,0.6095,0.6386,0.6098,0.6503
Mean_PCA_ANOVA_1_LDA,0.6092,0.6385,0.6098,0.6504
Mean_PCA_ANOVA_1_AE,0.6089,0.6385,0.6098,0.6504
Mean_PCA_ANOVA_1_RF,0.9999,1.0,0.5241,0.5499
Mean_PCA_ANOVA_1_LR,0.6095,0.6385,0.6104,0.6504
Mean_PCA_ANOVA_1_AB,0.6104,0.6489,0.6074,0.6445
Mean_PCA_ANOVA_1_DT,0.9999,1.0,0.5241,0.5244
Mean_PCA_ANOVA_1_NB,0.609,0.6385,0.6098,0.6504
Mean_PCA_ANOVA_2_SVM,0.6129,0.6552,0.6139,0.6538
Mean_PCA_ANOVA_2_LDA,0.6127,0.6553,0.6151,0.6535
Mean_PCA_ANOVA_2_AE,0.6127,0.6534,0.6139,0.6571
Mean_PCA_ANOVA_2_RF,1.0,1.0,0.58,0.6081
Mean_PCA_ANOVA_2_LR,0.6115,0.6553,0.6145,0.6533
Mean_PCA_ANOVA_2_AB,0.6264,0.6712,0.6074,0.6434
Mean_PCA_ANOVA_2_DT,1.0,1.0,0.5384,0.5387
Mean_PCA_ANOVA_2_NB,0.613,0.6561,0.6151,0.6531
Mean_PCA_ANOVA_3_SVM,0.617,0.6684,0.6211,0.666
Mean_PCA_ANOVA_3_LDA,0.6182,0.6687,0.6205,0.6646
Mean_PCA_ANOVA_3_AE,0.6153,0.6525,0.6151,0.6597
Mean_PCA_ANOVA_3_RF,1.0,1.0,0.5943,0.6385
Mean_PCA_ANOVA_3_LR,0.6185,0.6687,0.6211,0.6645
Mean_PCA_ANOVA_3_AB,0.633,0.6869,0.6246,0.6566
Mean_PCA_ANOVA_3_DT,1.0,1.0,0.5556,0.5559
Mean_PCA_ANOVA_3_NB,0.617,0.6687,0.6199,0.6631
Mean_PCA_ANOVA_4_SVM,0.6291,0.683,0.6288,0.6751
Mean_PCA_ANOVA_4_LDA,0.6331,0.6836,0.6199,0.6751
Mean_PCA_ANOVA_4_AE,0.6292,0.6837,0.6222,0.6741
Mean_PCA_ANOVA_4_RF,1.0,1.0,0.6157,0.6565
Mean_PCA_ANOVA_4_LR,0.6343,0.6836,0.6222,0.675
Mean_PCA_ANOVA_4_AB,0.6469,0.7032,0.6187,0.6622
